Price,Close,High,Low,Open,Volume
Ticker,FB,FB,FB,FB,FB
Date,,,,,
2025-06-26,39.90999984741211,40.189998626708984,39.90999984741211,40.13999938964844,36700
2025-06-27,40.249000549316406,40.369998931884766,40.150001525878906,40.150001525878906,11300
2025-06-30,40.4739990234375,40.56999969482422,40.29999923706055,40.45000076293945,28700
2025-07-01,40.39400100708008,41.404998779296875,40.31999969482422,40.36199951171875,11300
2025-07-02,40.25,40.36000061035156,40.2400016784668,40.31100082397461,50300
2025-07-03,40.513999938964844,40.56999969482422,40.439998626708984,40.47999954223633,4400
2025-07-07,40.54999923706055,40.56999969482422,40.459999084472656,40.56999969482422,93100
2025-07-08,40.40999984741211,40.5099983215332,40.40999984741211,40.47999954223633,3200
2025-07-09,40.44499969482422,40.599998474121094,40.380001068115234,40.5,11500
2025-07-10,40.47600173950195,40.4900016784668,40.47600173950195,40.4900016784668,200
2025-07-11,40.45500183105469,40.5099983215332,40.43299865722656,40.470001220703125,3700
2025-07-14,40.44200134277344,40.4900016784668,40.439998626708984,40.4900016784668,2200
2025-07-15,40.36000061035156,40.4900016784668,40.36000061035156,40.4900016784668,2500
2025-07-16,40.45800018310547,40.5,40.38999938964844,40.47999954223633,97600
2025-07-17,40.51300048828125,40.52899932861328,40.444000244140625,40.444000244140625,2000
2025-07-18,40.47200012207031,40.529998779296875,40.47200012207031,40.52000045776367,14900
2025-07-21,40.40999984741211,40.91999816894531,40.40999984741211,40.630001068115234,2200
2025-07-22,40.5,40.75,40.40999984741211,40.75,3200
2025-07-23,40.57500076293945,40.939998626708984,40.54999923706055,40.619998931884766,1100
2025-07-24,40.5890007019043,40.62300109863281,40.5890007019043,40.62300109863281,600
2025-07-25,40.560001373291016,40.60499954223633,40.40999984741211,40.60499954223633,5600
2025-07-28,40.560001373291016,40.65999984741211,40.560001373291016,40.65999984741211,1700
2025-07-29,40.529998779296875,40.630001068115234,40.529998779296875,40.630001068115234,1400
2025-07-30,40.5,40.63999938964844,40.5,40.630001068115234,1000
2025-07-31,40.56700134277344,40.68000030517578,40.56700134277344,40.68000030517578,800
2025-08-01,40.263999938964844,40.54999923706055,40.263999938964844,40.540000915527344,1400
2025-08-04,40.47999954223633,40.47999954223633,40.43009948730469,40.47999954223633,709
